,county,district_num,dist_name,dist_type,school_num,school_name,instruct_type,charter_type,aea,magnet_status,school_enrollment,zipcode,school_type,pcent_econ_disadv,pcent_esl,rating,X,Y
461,bexar_county,15907,san_antonio_isd,independent,15907150,maverick_el,regular_instructional,,n,n,499,78201,elementary,90.5,26.7,b,-98.54734918,29.4770637
462,bexar_county,15915,northside_isd,independent,15915157,may_el,regular_instructional,,n,n,411,78256,elementary,36.0,25.1,c,-98.62529294,29.59284681
463,bexar_county,15915,northside_isd,independent,15915230,mcandrew_el,regular_instructional,,n,n,293,78006,elementary,8.0,3.0,a,-98.70823078,29.69366981
464,bexar_county,15904,harlandale_isd,independent,15904002,mccollum_h_s,regular_instructional,,n,n,1494,78221,high_school,81.4,9.4,c,-98.51219941,29.34253789
465,bexar_county,15915,northside_isd,independent,15915158,mcdermott_el,regular_instructional,,n,n,683,78240,elementary,74.4,28.0,c,-98.58403443,29.53414114
466,guadalupe_county,94901,seguin_isd,independent,94901106,mcqueeney_el,regular_instructional,,n,n,314,78123,elementary,70.7,2.9,b,-98.04315691,29.59365552
467,bexar_county,15915,northside_isd,independent,15915185,mead_el,regular_instructional,,n,n,803,78229,elementary,90.8,30.1,c,-98.5542817,29.51567546
468,bexar_county,15915,northside_isd,independent,15915117,meadow_village_el,regular_instructional,,n,n,443,78227,elementary,87.0,5.4,b,-98.64408287,29.42334016
469,bandera_county,10901,medina_isd,independent,10901001,medina_school,regular_instructional,,n,n,246,78055,elem/secondary,57.0,1.5,c,-99.24818666,29.79969278
470,medina_county,163908,medina_valley_isd,independent,163908001,medina_valley_h_s,regular_instructional,,n,n,2147,78009,high_school,43.1,4.5,a,-98.83987305,29.34628443
471,medina_county,163908,medina_valley_isd,independent,163908043,medina_valley_loma_alta_middle,regular_instructional,,n,n,790,78253,middle_school,39.4,5.0,a,-98.81290408,29.43405693
472,medina_county,163908,medina_valley_isd,independent,163908042,medina_valley_middle,regular_instructional,,n,n,1029,78009,middle_school,53.4,6.5,b,-98.8390951,29.34589274
473,bexar_county,15912,southwest_isd,independent,15912111,medio_creek_el,regular_instructional,,n,n,644,78252,elementary,82.4,20.3,b,-98.62566015,29.33796965
474,comal_county,46902,comal_isd,independent,46902007,memorial_early_college_h_s_with_st_philips,regular_instructional,,n,n,341,78130,high_school,24.2,1.4,a,-98.094582,29.707317
475,comal_county,46901,new_braunfels_isd,independent,46901108,memorial_el,regular_instructional,,n,n,293,78130,elementary,50.8,5.4,a,-98.12009957,29.67204715
476,bexar_county,15905,edgewood_isd,independent,15905003,memorial_h_s,regular_instructional,,n,n,872,78228,high_school,85.8,24.1,c,-98.56343205,29.44542082
477,guadalupe_county,94901,seguin_isd,independent,94901002,mercer_&_blumberg_lrn_ctr,alternative_instructional,,y,n,81,78155,high_school,76.6,4.7,a,-97.96715653,29.569653
478,comal_county,46902,comal_isd,independent,46902111,mh_specht_el,regular_instructional,,n,n,802,78130,elementary,24.8,6.0,a,-98.45994275,29.68512225
479,bexar_county,15915,northside_isd,independent,15915162,michael_el,regular_instructional,,n,n,559,78245,elementary,80.8,1.9,b,-98.68070148,29.39925003
480,bexar_county,15908,south_san_antonio_isd,independent,15908112,miguel_carrillo_jr_el,regular_instructional,,n,n,277,78211,elementary,89.3,1.6,c,-98.55820547,29.36058374
481,bexar_county,15916,judson_isd,independent,15916111,miller_point_el,regular_instructional,,n,n,606,78109,elementary,82.5,4.1,b,-98.34721339,29.52898348
482,bexar_county,15915,northside_isd,independent,15915195,mireles_el,regular_instructional,,n,n,928,78253,elementary,29.3,12.1,b,-98.73507746,29.49285372
483,bexar_county,15907,san_antonio_isd,independent,15907210,mission_academy,regular_instructional,,n,n,475,78223,elementary,76.9,4.6,b,-98.44053596,29.32902608
484,bexar_county,15910,north_east_isd,independent,15910122,montgomery_el,regular_instructional,,n,n,263,78239,elementary,93.4,4.8,b,-98.34972394,29.51035788
485,bexar_county,15915,northside_isd,independent,15915224,mora_el,regular_instructional,,n,n,565,78245,elementary,43.8,21.0,not_rated_senate_bill_1365,-98.72790147,29.41801831
486,comal_county,46902,comal_isd,independent,46902117,morningside_el,regular_instructional,,n,n,810,78130,elementary,62.4,17.6,b,-98.1613305,29.658672
487,bexar_county,15904,harlandale_isd,independent,15904109,morrill_el,regular_instructional,,n,n,356,78214,elementary,91.0,24.8,b,-98.49820073,29.37397826
488,comal_county,46902,comal_isd,independent,46902120,mt_valley_el,regular_instructional,,n,n,471,78130,elementary,50.8,4.2,a,-98.16765541,29.86729706
489,comal_county,46902,comal_isd,independent,46902046,mt_valley_middle,regular_instructional,,n,n,808,78130,middle_school,42.9,5.2,a,-98.16798078,29.85060464
490,bexar_county,15907,san_antonio_isd,independent,15907124,muriel_forbes_el,regular_instructional,,n,n,159,78223,elementary,92.3,0.6,b,-98.45178306,29.37328778
491,bexar_county,15915,northside_isd,independent,15915130,murnin_el,regular_instructional,,n,n,758,78251,elementary,63.2,3.7,b,-98.68356221,29.44417478
492,bexar_county,15915,northside_isd,independent,15915160,myers_el,regular_instructional,,n,n,502,78251,elementary,70.2,28.5,b,-98.65426094,29.47155323
